iter	RMSE
0	1.049905925
1	1.021135412
2	0.9983862189
3	0.9830684023
4	0.9642920881
5	0.9467303485
6	0.9285713556
7	0.9131322226
8	0.9007076175
9	0.8882274016
10	0.8747087099
11	0.8647433257
12	0.8557438927
13	0.8463505135
14	0.8380393697
15	0.8305114928
16	0.8255521346
17	0.8169030659
18	0.808939048
19	0.800540405
20	0.7942310615
21	0.7889024137
22	0.7822494446
23	0.7771800102
24	0.7714692686
25	0.7680374971
26	0.7622254913
27	0.7578886727
28	0.754618867
29	0.7492595945
30	0.7463518609
31	0.7417815557
32	0.7393020445
33	0.7378626155
34	0.7361867764
35	0.7340529006
36	0.7315267622
37	0.7286542874
38	0.7264223864
39	0.7239738676
40	0.7196746104
41	0.7174901063
42	0.7151351463
43	0.7124644917
44	0.7097973905
45	0.7067103597
46	0.7053216326
47	0.7042540179
48	0.7024150116
49	0.6988123384
50	0.6976365523
51	0.6945194614
52	0.6926469836
53	0.6910098278
54	0.6884561615
55	0.6871478763
56	0.6847365277
57	0.6836392624
58	0.68302723
59	0.6814918297
60	0.6800046363
61	0.678240876
62	0.6764717184
63	0.6755673274
64	0.6742968641
65	0.6733383359
66	0.6722334998
67	0.6706791205
68	0.6694959117
69	0.6685936748
70	0.6666625914
71	0.6649116316
72	0.6629993265
73	0.6614660169
74	0.6605686352
75	0.6599908053
76	0.6581067424
77	0.6569211748
78	0.6547902492
79	0.6537613773
80	0.6513661843
81	0.6496894778
82	0.6479971091
83	0.6461750854
84	0.6445427841
85	0.643676794
86	0.6427723247
87	0.6411507179
88	0.6402802215
89	0.6394289405
90	0.638870649
91	0.6379285154
92	0.6369696917
93	0.6358066216
94	0.6354064375
95	0.6345330019
96	0.6334752266
97	0.6324797582
98	0.6311246242
99	0.6299111063
100	0.629384595
101	0.6277446657
102	0.6266822601
103	0.6258645909
104	0.6245904965
105	0.6242524398
106	0.6235718072
107	0.6228676682
108	0.6212998713
109	0.6205526047
110	0.6199707539
111	0.6188435895
112	0.6178907414
113	0.6170563198
114	0.6147716185
115	0.6134946402
116	0.61266935
117	0.6120772638
118	0.6113754698
119	0.6111283715
120	0.6108600538
121	0.6098943037
122	0.6097283279
123	0.6095421686
124	0.6072110453
125	0.6056524632
126	0.6048318294
127	0.6046731237
128	0.6035942173
129	0.6019142414
130	0.6017505506
131	0.601614315
132	0.6009395909
133	0.599431536
134	0.5982804008
135	0.5974596814
136	0.5954800798
137	0.5945943974
138	0.5926658821
139	0.592460616
140	0.5923205149
141	0.5906240441
142	0.5905021316
143	0.5904437666
144	0.5899791484
145	0.5892124917
146	0.5890660677
147	0.5882720396
148	0.5881615266
149	0.5880339153
150	0.5879407162
151	0.5867734502
152	0.5858703768
153	0.5838523
154	0.5828990649
155	0.581458384
156	0.5798634901
157	0.5782258785
158	0.5770183923
159	0.576309905
160	0.5755095369
161	0.5752766256
162	0.5751716339
163	0.5742671444
164	0.5726917988
165	0.571756577
166	0.5713202912
167	0.5707428438
168	0.5706201492
169	0.5697870442
170	0.5686640738
171	0.568544631
172	0.5684692386
173	0.5670872994
174	0.5657522129
175	0.5647800274
176	0.5637014979
177	0.5632824301
178	0.5619035863
179	0.5607871177
180	0.5601613821
181	0.5592640281
182	0.5580260866
183	0.55741364
184	0.5573455553
185	0.5564104986
186	0.5560571828
187	0.5551106092
188	0.5540863604
189	0.5531793086
190	0.5517549608
191	0.5502671725
192	0.549638232
193	0.5489304639
194	0.5478814702
195	0.5464199979
196	0.545529283
197	0.5445923234
198	0.5435638645
199	0.5428447117
