iter	Passed	Remaining
0	60	11967
1	61	6051
2	61	4069
3	62	3077
4	63	2484
5	64	2089
6	65	1819
7	67	1609
8	68	1444
9	68	1309
10	69	1199
11	70	1108
12	71	1029
13	72	962
14	73	910
15	75	863
16	76	818
17	76	777
18	77	740
19	78	707
20	79	677
21	80	650
22	81	629
23	82	607
24	83	586
25	84	566
26	85	548
27	86	531
28	87	515
29	88	500
30	89	486
31	90	475
32	91	463
33	92	450
34	93	439
35	94	429
36	95	418
37	96	409
38	96	399
39	98	394
40	99	386
41	100	378
42	102	373
43	103	365
44	103	358
45	104	351
46	106	346
47	107	340
48	108	334
49	109	327
50	110	321
51	111	316
52	111	310
53	112	305
54	114	300
55	115	296
56	116	291
57	116	286
58	117	281
59	118	276
60	119	272
61	120	267
62	121	264
63	122	261
64	123	257
65	124	253
66	125	249
67	126	246
68	127	242
69	128	238
70	130	237
71	131	233
72	132	230
73	133	226
74	134	223
75	134	220
76	135	216
77	136	213
78	138	211
79	139	208
80	139	205
81	140	202
82	141	199
83	142	196
84	143	193
85	144	191
86	146	189
87	147	187
88	148	184
89	149	182
90	150	179
91	151	177
92	151	174
93	153	172
94	154	170
95	155	168
96	156	166
97	157	164
98	158	161
99	159	159
100	160	157
101	162	155
102	163	153
103	164	151
104	165	149
105	166	147
106	167	145
107	168	143
108	169	141
109	170	139
110	171	137
111	172	135
112	173	133
113	174	131
114	175	129
115	177	128
116	178	126
117	179	124
118	180	122
119	181	121
120	182	119
121	183	117
122	184	115
123	186	114
124	187	112
125	188	110
126	189	108
127	190	106
128	190	105
129	191	103
130	193	101
131	194	100
132	195	98
133	196	96
134	198	95
135	199	93
136	200	92
137	202	90
138	203	89
139	204	87
140	204	85
141	205	84
142	206	82
143	207	80
144	209	79
145	210	77
146	211	76
147	212	74
148	213	72
149	213	71
150	214	69
151	215	68
152	217	66
153	218	65
154	219	63
155	220	62
156	221	60
157	222	59
158	223	57
159	224	56
160	225	54
161	226	53
162	227	51
163	228	50
164	229	48
165	230	47
166	231	45
167	231	44
168	234	42
169	235	41
170	235	40
171	236	38
172	237	37
173	238	35
174	239	34
175	240	32
176	242	31
177	243	30
178	244	28
179	245	27
180	246	25
181	246	24
182	247	23
183	249	21
184	251	20
185	252	18
186	253	17
187	254	16
188	255	14
189	256	13
190	257	12
191	258	10
192	259	9
193	260	8
194	261	6
195	262	5
196	263	4
197	264	2
198	265	1
199	266	0
